URL,Vulnerability,Status/Details
http://testphp.vulnweb.com,SQL Injection,No SQL Injection found
http://testphp.vulnweb.com,XSS,No XSS found
http://testphp.vulnweb.com,Directory Traversal,No Directory Traversal found
http://testphp.vulnweb.com,Open Redirect,No Open Redirect found
http://testphp.vulnweb.com,Clickjacking,Possible Clickjacking vulnerability: Missing X-Frame-Options header; Missing CSP frame-ancestors directive
http://testphp.vulnweb.com,Insecure HTTP Headers,"Missing: ['Content-Security-Policy', 'Strict-Transport-Security', 'X-Content-Type-Options', 'X-Frame-Options', 'Referrer-Policy', 'Permissions-Policy', 'Cache-Control'] | Misconfigured: []"
http://testphp.vulnweb.com,Unsafe HTTP Methods,✅ HTTP Methods are safe
http://testphp.vulnweb.com,Robots.txt Check,No robots.txt found
http://testphp.vulnweb.com/index.php,SQL Injection,No SQL Injection found
http://testphp.vulnweb.com/index.php,XSS,No XSS found
http://testphp.vulnweb.com/index.php,Directory Traversal,No Directory Traversal found
http://testphp.vulnweb.com/index.php,Open Redirect,No Open Redirect found
http://testphp.vulnweb.com/index.php,Clickjacking,No Clickjacking found
http://testphp.vulnweb.com/index.php,Insecure HTTP Headers,Error fetching headers
http://testphp.vulnweb.com/index.php,Unsafe HTTP Methods,"⚠️ Unsafe HTTP Methods Detected:
Could not retrieve Allow header"
http://testphp.vulnweb.com/index.php,Robots.txt Check,Error fetching robots.txt
http://testphp.vulnweb.com/categories.php,SQL Injection,No SQL Injection found
http://testphp.vulnweb.com/categories.php,XSS,No XSS found
http://testphp.vulnweb.com/categories.php,Directory Traversal,No Directory Traversal found
http://testphp.vulnweb.com/categories.php,Open Redirect,No Open Redirect found
http://testphp.vulnweb.com/categories.php,Clickjacking,No Clickjacking found
http://testphp.vulnweb.com/categories.php,Insecure HTTP Headers,Error fetching headers
http://testphp.vulnweb.com/categories.php,Unsafe HTTP Methods,"⚠️ Unsafe HTTP Methods Detected:
Could not retrieve Allow header"
http://testphp.vulnweb.com/categories.php,Robots.txt Check,Error fetching robots.txt
http://testphp.vulnweb.com/artists.php,SQL Injection,No SQL Injection found
http://testphp.vulnweb.com/artists.php,XSS,No XSS found
http://testphp.vulnweb.com/artists.php,Directory Traversal,No Directory Traversal found
http://testphp.vulnweb.com/artists.php,Open Redirect,No Open Redirect found
http://testphp.vulnweb.com/artists.php,Clickjacking,No Clickjacking found
